Dialect_Name,Dialect_Sentence,English_Translation,Hindi_Translation
Varhadi ,तू तयारी वगैरे सुरू केलीस का रे लग्नाची?,Have you started the wedding preparations?,क्या तुमने शादी की तैयारी वगैरह शुरू कर दी है?
Varhadi ,"हो रे, तयारी तर जोरात सुरू आसे.,Yes man, the preparations are going on in full swing.",हाँ यार, तैयारी तो ज़ोरों पर चल रही है।
Varhadi ,तू पत्रिका वगैरे छापल्यास का रे?,Have you printed the invitation cards?,क्या तुमने निमंत्रण पत्र वगैरह छपवाए?
Varhadi ,"हो रे, पत्रिका पण छापल्या आणि वाटायला पण सुरुवात केली.,Yes man, the invitation cards have been printed and we have started distributing them.",हाँ यार, निमंत्रण पत्र भी छपवा लिए और बाँटना भी शुरू कर दिया।
Varhadi ,तू मला कधी देणार आहास रे पत्रिका?,When will you give me the invitation card?,तुम मुझे निमंत्रण पत्र कब दोगे यार?
Varhadi ,"मी लवकरच देतो तुले पत्रिका, तू नक्की येशील ना लग्नाला?,I will give you the invitation card soon, you will definitely come to the wedding, right?",मैं तुम्हें जल्दी ही निमंत्रण पत्र देता हूँ, तुम शादी में ज़रूर आओगे ना?
Varhadi ,"हो रे, मी नक्की येणार लग्नाला, तुझ्या बहिणीला शुभेच्छा दे.,Yes man, I will definitely come to the wedding, give my best wishes to your sister.,हाँ यार", मैं ज़रूर आऊंगा शादी में, तुम्हारी बहन को शुभकामनाएं देना।
Varhadi ,तू काय मदत करणार आहास रे लग्नात?,What help will you do in the wedding?,तुम शादी में क्या मदद करोगे यार?
Varhadi ,"मी सगळी कामं बघणार आहो रे, जी माझ्या हातात असतील.,I will look after all the work that will be in my hands.",मैं सारे काम देखूंगा यार, जो मेरे हाथ में होंगे।
Varhadi ,तू लय जबाबदार भाऊ आहास रे!,You are a very responsible brother!,तुम बहुत जिम्मेदार भाई हो यार!
Varhadi ,"काय करणार रे, बहिणीचं लग्न म्हणजे मोठी जबाबदारी असते.,What to do, man, sister's wedding is a big responsibility.",क्या करें यार, बहन की शादी मतलब बड़ी जिम्मेदारी होती है।
Varhadi ,तू खरेदी वगैरे केलीस का रे लग्नासाठी?,Have you done the shopping etc. for the wedding?,क्या तुमने शादी के लिए खरीदारी वगैरह कर ली है?
Varhadi ,"हो रे, थोडीफार खरेदी झाली आसे अजून बाकी आसे.,Yes man, a little shopping has been done, some is still left.,हाँ यार", थोड़ी बहुत खरीदारी हो गई है, अभी बाकी है।
Varhadi ,तू काय घेणार आहास रे लग्नात घालायला?,What will you wear in the wedding?,तुम शादी में क्या पहनोगे यार?
Varhadi ,मी धोतर आणि कुर्ता घालणार आहो रे.,I will wear dhoti and kurta.,मैं धोती और कुर्ता पहनूंगा यार।
Varhadi ,लय छान दिसते धोतर कुर्ता घातल्यावर.,It looks very nice after wearing dhoti kurta.,धोती कुर्ता पहनने के बाद बहुत अच्छा लगता है।
Varhadi ,तू नाचणार आहास का रे लग्नात?,Will you dance in the wedding?,क्या तुम शादी में नाचोगे यार?
Varhadi ,"हो रे, नाचायला तर लय आवडते मले.,Yes man, I really like to dance.",हाँ यार, मुझे तो नाचना बहुत पसंद है।
Varhadi ,डीजे वगैरे लावणार आहात का रे लग्नात?,Will you have a DJ etc. at the wedding?,क्या तुम शादी में डीजे वगैरह लगवाओगे यार?
Varhadi ,"हो रे, डीजे पण लावणार आहो, सगळे नाचणार.,Yes man, we will also have a DJ, everyone will dance.,हाँ यार", डीजे भी लगवाएंगे, सब नाचेंगे।
Varhadi ,तू तुझ्या मित्रांना पण बोलवलंस का रे लग्नाला?,Have you also invited your friends to the wedding?,क्या तुमने अपने दोस्तों को भी शादी में बुलाया है यार?
Varhadi ,"हो रे, सगळ्या माझ्या खास मित्रांना बोलवलं आसे.,Yes man, I have invited all my close friends.",हाँ यार, मैंने अपने सभी खास दोस्तों को बुलाया है।
Varhadi ,लय मजा येणार आसे लग्नात मग तर!,It will be a lot of fun at the wedding then!,फिर तो शादी में बहुत मजा आएगा!
Varhadi ,"हो रे, तू नक्की ये म्हणजे आणखी मजा येईल.,Yes man, you definitely come, then there will be even more fun.",हाँ यार, तुम ज़रूर आना मतलब और भी मजा आएगा।
Varhadi ,माझ्या शुभेच्छा तुझ्या बहिणीसाठी!,My best wishes for your sister!,मेरी शुभकामनाएं तुम्हारी बहन के लिए!
Varhadi ,"धन्यवाद रे भाऊ.,Thank you", brother.,धन्यवाद भाई।
Varhadi ,"अरे यार, तू आज उदास का दिसत आहास रे?,Hey man, why do you look sad today?",अरे यार, तुम आज उदास क्यों दिख रहे हो?
Varhadi ,"काय सांगू रे तुला, माझं मन थोडं ठीक नाहीये आज.,What to tell you, man, my mind is not feeling well today.",क्या बताऊं यार तुम्हें, मेरा मन थोड़ा ठीक नहीं है आज।
Varhadi ,"काय झालं रे तुला?,What happened to you", man?,तुम्हें क्या हुआ यार?
Varhadi ,काल रात्री मला झोप नाही आली व्यवस्थित.,I didn't sleep properly last night.,कल रात मुझे ठीक से नींद नहीं आई।
Varhadi ,झोप नाही आली? काय झालं होतं रे?,Didn't you sleep? What had happened?,नींद नहीं आई? क्या हुआ था यार?
Varhadi ,"काही नाही रे, उगाचच बेचैन वाटत होतं.,Notng man, I was just feeling restless.",कुछ नहीं यार, बस ऐसे ही बेचैन लग रहा था।
Varhadi ,"तू डॉक्टरकडे गेला होतास का रे?,Did you go to the doctor", man?,क्या तुम डॉक्टर के पास गए थे यार?
Varhadi ,"नाही रे, अजून नाही गेलो.,No man, not yet.",नहीं यार, अभी नहीं गया।
Varhadi ,"जाऊन ये एकदा डॉक्टरकडे, बरं वाटेल तुला.,Go and see a doctor once, you will feel better.",एक बार डॉक्टर के पास जाकर आओ, तुम्हें अच्छा लगेगा।
Varhadi ,"हो रे, विचार करतोय जायचा.,Yes man, I am tnking of going.",हाँ यार, जाने की सोच रहा हूँ।
Varhadi ,"तू जास्त विचार करू नकोस रे, आराम कर थोडा वेळ.,Don't tnk too much, man, rest for some time.",तुम ज्यादा मत सोचो यार, थोड़ी देर आराम करो।
Varhadi ,"हो रे, तेच करतो आता.,Yes man, that's what I am doing now.",हाँ यार, वही कर रहा हूँ अब।
Varhadi ,तू काही खाल्लंस का रे व्यवस्थित?,Did you eat anytng properly?,क्या तुमने कुछ ठीक से खाया?
Varhadi ,"नाही रे, भूक पण नाही लागली जास्त.,No man, I didn't feel much hungry either.",नहीं यार, ज्यादा भूख भी नहीं लगी।
Varhadi ,"थोडा तरी खा रे, नाहीतर अशक्तपणा येईल.,Eat at least a little, man, otherwise you will feel weak.",थोड़ा तो खा लो यार, नहीं तो कमजोरी आ जाएगी।
Varhadi ,"ठीक आसे रे, थोडं खातो.,Okay man, I will eat a little.",ठीक है यार, थोड़ा खाता हूँ।
Varhadi ,"तू काळजी घे रे स्वतःची, लवकर बरा होशील.,Take care of yourself, man, you will get well soon.",तुम अपना ख्याल रखना यार, तुम जल्दी ठीक हो जाओगे।
Varhadi ,"धन्यवाद रे भाऊ, तू लय काळजी घेतो माझी.,Thank you, brother, you take a lot of care of me.",धन्यवाद भाई, तुम मेरी बहुत परवाह करते हो।
Varhadi ,"काय करणार रे, तू माझा चांगला दोस्त आहास.,What to do, man, you are my good friend.",क्या करें यार, तुम मेरे अच्छे दोस्त हो।
Varhadi ,"चला भेटूया लवकरच रे.,Let's meet soon", man.,चलो जल्द ही मिलते हैं यार।
Varhadi ,"हो रे, नक्की भेटू.,Yes man, definitely will meet.",हाँ यार, निश्चित रूप से मिलेंगे।
Varhadi ,"अरे यार, तू कोणत्या तयारीला लागलास एवढा?,Hey man, what preparation are you engaged in so much?",अरे यार, तुम इतनी तैयारी में क्यों लगे हो?
Varhadi ,मी थोडी तयारी करतोय रे एका परीक्षेची.,I am doing some preparation for an exam.,मैं थोड़ी तैयारी कर रहा हूँ यार एक परीक्षा की।
Varhadi ,कोणती परीक्षा आसे रे ती?,Wch exam is that?,वह कौन सी परीक्षा है यार?
Varhadi ,ती [परीक्षेचं नाव] ची परीक्षा आसे.,That is the exam for [Exam Name].,वह [परीक्षा का नाम] की परीक्षा है यार।
Varhadi ,अरे व्वा! लय मोठी परीक्षा आसे ती तर!,Wow! That's a very big exam!,अरे वाह! वह तो बहुत बड़ी परीक्षा है!
Varhadi ,तू कधी पासून तयारी करतोयस रे तिची?,Since when have you been preparing for it?,तुम कब से उसकी तैयारी कर रहे हो यार?
Varhadi ,मी मागच्या सहा महिन्यांपासून तयारी करतोय रे.,I have been preparing for the last six months.,मैं पिछले छह महीनों से तैयारी कर रहा हूँ यार।
Varhadi ,तू कोचिंग वगैरे लावली आसे का रे?,Have you joined any coacng etc.?,क्या तुमने कोई कोचिंग वगैरह लगाई है यार?
Varhadi ,"हो रे, मी एका चांगल्या क्लासमध्ये कोचिंग लावली आसे.,Yes man, I have joined coacng in a good class.",हाँ यार, मैंने एक अच्छे क्लास में कोचिंग लगाई है।
Varhadi ,तुझे शिक्षक कसे आहेत रे कोचिंगमध्ये?,How are your teachers in coacng?,तुम्हारे शिक्षक कोचिंग में कैसे हैं यार?
Varhadi ,माझे शिक्षक लय अनुभवी आणि चांगले आहेत रे.,My teachers are very experienced and good.,मेरे शिक्षक बहुत अनुभवी और अच्छे हैं यार।
Varhadi ,तू रोज किती तास अभ्यास करतोस रे?,How many hours do you study every day?,तुम रोज कितने घंटे पढ़ाई करते हो यार?
Varhadi ,मी रोज आठ ते दहा तास अभ्यास करतो रे.,I study for eight to ten hours every day.,मैं रोज आठ से दस घंटे पढ़ाई करता हूँ यार।
Varhadi ,लय मेहनत घेतोयस की रे तू!,You are working very hard!,तुम बहुत मेहनत कर रहे हो यार!
Varhadi ,"हो रे, परीक्षा लय महत्त्वाची आसे माझ्यासाठी.,Yes man, the exam is very important for me.",हाँ यार, परीक्षा मेरे लिए बहुत महत्वपूर्ण है।
Varhadi ,"तू नक्की पास होशील रे, मला खात्री आसे.,You will definitely pass, man, I am sure.",तुम ज़रूर पास हो जाओगे यार, मुझे यकीन है।
Varhadi ,"आशा ठेवतो रे, तुझा आशीर्वाद माझ्या सोबत असो.,I hope so, man, may your blessings be with me.",आशा करता हूँ यार, तुम्हारी दुआएं मेरे साथ हों।
Varhadi ,"माझे पूर्ण आशीर्वाद आहेत तुझ्या सोबत रे.,My full blessings are with you", man.,मेरी पूरी दुआएं तुम्हारे साथ हैं यार।
Varhadi ,"तू शांतपणे परीक्षा दे रे, घाबरू नकोस.,You give the exam calmly, man, don't be afraid.",तुम शांति से परीक्षा देना यार, डरना मत।
Varhadi ,"हो रे, मी शांतपणेच देणार परीक्षा.,Yes man, I will give the exam calmly.",हाँ यार, मैं शांति से ही परीक्षा दूंगा।
Varhadi ,"परीक्षेच्या नंतर आपण भेटू रे.,We will meet after the exam", man.,परीक्षा के बाद हम मिलेंगे यार।
Varhadi ,"नक्की भेटू रे, मला सांग काय झालं पेपरला.,Definitely will meet, man, tell me what happened in the paper.",ज़रूर मिलेंगे यार, मुझे बताना पेपर कैसा गया।
Varhadi ,"ठीक आसे रे, मी नक्की सांगतो तुला.,Okay man, I will definitely tell you.",ठीक है यार, मैं तुम्हें ज़रूर बताऊंगा।
Varhadi ,"तू आता अभ्यास कर रे व्यवस्थित.,You study properly now", man.,तुम अब ठीक से पढ़ाई करो यार।
Varhadi ,"हो रे, मी जातो आता अभ्यासाला.,Yes man, I am going to study now.",हाँ यार, मैं अब पढ़ाई करने जाता हूँ।
Varhadi ,शुभ शुभेच्छा तुझ्या परीक्षेसाठी!,Best wishes for your exam!,तुम्हारी परीक्षा के लिए शुभकामनाएं!
Varhadi ,"धन्यवाद रे भाऊ.,Thank you", brother.,धन्यवाद भाई।
Varhadi ,"चला भेटूया लवकरच रे.,Let's meet soon", man.,चलो जल्द ही मिलते हैं यार।
Varhadi ,"हो रे, नक्की भेटू.,Yes man, definitely will meet.",हाँ यार, निश्चित रूप से मिलेंगे।
Malvani ,"काय रे, किधर चाललास इतक्या सकाळी?,Hey man, where are you going so early in the morning?",अरे यार, इतनी सुबह कहाँ जा रहा है?
Malvani ,"ओय, मी जरा बाजारात वटेन गेलो होतो.,Hey, I had gone to the market side.",अरे, मैं थोड़ा बाजार की तरफ गया था।
Malvani ,काय घेवन आयलास बाजारातून?,What did you bring from the market?,बाजार से क्या लेकर आया?
Malvani ,"ताजी मासळी घेवन आयलोय, आज जेवणात तीच असाची.,I brought fresh fish, that's what we'll have for dinner today.",ताज़ी मछली लेकर आया हूँ, आज खाने में वही होगी।
Malvani ,"अरे व्वा! मासळी म्हणल्यावर आमचा जीव की रं!,Wow! When it comes to fish", we are all for it!,अरे वाह! मछली का नाम सुनते ही हमारी जान आ जाती है!
Malvani ,तू येशील जेवणाक?,Will you come for dinner?,क्या तुम खाने के लिए आओगे?
Malvani ,"नाय रे बाबा, आज घरात पाहुणे येणार आहेत.,No man, guests are coming home today.",नहीं यार, आज घर पर मेहमान आने वाले हैं।
Malvani ,अच्छा! कोण येणार आहेत?,Oh! Who is coming?,अच्छा! कौन आ रहा है?
Malvani ,माझे मामा आणि मामी येतील सायंकाळपर्यंत.,My maternal uncle and aunt will come by evening.,मेरे मामा और मामी शाम तक आएंगे।
Malvani ,बरं झालं! त्यांची भेट घेवन बरे वाटेल.,Good! It will feel good to meet them.,अच्छा हुआ! उनसे मिलकर अच्छा लगेगा।
Malvani ,तू कधी येणार आमच्या गावाला?,When will you come to our village?,तुम हमारे गाँव कब आओगे?
Malvani ,"लवकरच येतो रे, जरा कामं आवरली की नक्की येतो.,I'll come soon, man, once I finish my work, I'll definitely come.",मैं जल्दी ही आता हूँ यार, थोड़ा काम निपटा लूँ तो ज़रूर आता हूँ।
Malvani ,"येताना नारळ आणि हापूस घेवन ये हां!,Come with coconuts and Alphonso mangoes", okay!,आते समय नारियल और हापुस आम लेकर आना हाँ!
Malvani ,"नक्की घेवन येतो, मालवण म्हटल्यावर हापूस तर हवाच!,Definitely will bring, when it's Malvan, Alphonso is a must!",ज़रूर लेकर आता हूँ, मालवण का नाम ही हापुस के बिना अधूरा है!
Malvani ,"काय रे भाऊ, कसा आसा तू?,Hey brother, how are you?",अरे भाई, कैसे हो तुम?
Malvani ,"मी ठीक आसा, तू कसा आसा?,I am fine, how are you?",मैं ठीक हूँ, तुम कैसे हो?
Malvani ,माझा पण ठीक चालला आसा.,Mine is also going well.,मेरा भी ठीक चल रहा है।
Malvani ,आज काय बेत केलाय?,What plan have you made for today?,आज क्या योजना बनाई है?
Malvani ,आज समुद्राकिनारी फिरायला जायचा विचार आसा.,Today I'm tnking of going for a walk on the beach.,आज समुद्र किनारे घूमने जाने का विचार है।
Malvani ,समुद्राकिनारा! लय भारी वाटता तिकडे.,Beach! It feels very amazing there.,समुद्र किनारा! वहाँ बहुत अच्छा लगता है।
Malvani ,तू पण येशील?,Will you also come?,क्या तुम भी आओगे?
Malvani ,"नाय रे, आज घरात कामं आहेत थोडी.,No man, there's some work at home today.",नहीं यार, आज घर पर थोड़ा काम है।
Malvani ,"बरं, मग पुढच्या वेळेस नक्की जाऊया.,Okay, then let's definitely go next time.",ठीक है, तो अगली बार ज़रूर चलेंगे।
Malvani ,"हां हां, नक्की जाऊया! तू सांग कधी येवचां ते.,Yes yes, let's definitely go! You tell me when to come.",हाँ हाँ, ज़रूर चलेंगे! तुम बताओ कब आना है।
Malvani ,"काय रे पोरा, काय करताय इकडे?,Hey kid, what are you doing here?",अरे बच्चे, तुम यहाँ क्या कर रहे हो?
Malvani ,"आम्ही खेळताय अंकल.,We are playing", uncle.,हम खेल रहे हैं अंकल।
Malvani ,कोणता खेळ खेळताय?,Wch game are you playing?,कौन सा खेल खेल रहे हो?
Malvani ,आम्ही क्रिकेट खेळताय.,We are playing cricket.,हम क्रिकेट खेल रहे हैं।
Malvani ,"बरं बरं, सांभाळून खेळा हां!,Okay okay, play carefully, okay!",ठीक है ठीक है, ध्यान से खेलना हाँ!
Malvani ,"हां अंकल, आम्ही सांभाळूनच खेळतो.,Yes uncle, we play carefully.",हाँ अंकल, हम ध्यान से ही खेलते हैं।
Malvani ,तुमची शाळा कधी सुरू होणार आहे?,When will your school start?,तुम्हारा स्कूल कब शुरू होगा?
Malvani ,आमची शाळा पुढच्या आठवड्यात सुरू होणार आसा.,Our school will start next week.,हमारा स्कूल अगले हफ्ते शुरू होगा।
Malvani ,अभ्यास वगैरे करताय की नुसते खेळताय?,Are you studying etc. or just playing?,पढ़ाई वगैरह कर रहे हो या सिर्फ खेल रहे हो?
Malvani ,आम्ही अभ्यास पण करतो आणि खेळतो पण.,We study as well as play.,हम पढ़ाई भी करते हैं और खेलते भी हैं।
Malvani ,शाब्बास! असंच पाहिजे.,Well done! That's how it should be.,शाबाश! ऐसा ही होना चाहिए।
Malvani ,"काय गं बाई, कुठं चाललीस इतक्या घाईत?,Hey woman, where are you going in such a hurry?",अरे बाई, इतनी जल्दी में कहाँ जा रही हो?
Malvani ,"ओय, मी जरा देवळात वटेन चाललीये.,Hey, I am going towards the temple.",अरे, मैं थोड़ा मंदिर की तरफ जा रही हूँ।
Malvani ,आज काय विशेष आसा देवळात?,What's special at the temple today?,आज मंदिर में क्या खास है?
Malvani ,आज आमच्या गावच्या देवीची पालखी निघणार आसा.,Today the palanquin of our village goddess will proceed.,आज हमारे गाँव की देवी की पालकी निकलेगी।
Malvani ,अरे व्वा! मी पण येतो तुमच्याबरोबर.,Wow! I will also come with you.,अरे वाह! मैं भी तुम्हारे साथ आता हूँ।
Malvani ,"या या! लवकर चला, नाहीतर गर्दी होईल.,Yes yes! Let's go quickly, otherwise it will get crowded.",हाँ हाँ! जल्दी चलो, नहीं तो भीड़ हो जाएगी।
Malvani ,तू तयारी केलीस ना सगळी?,Have you done all the preparations?,क्या तुमने सारी तैयारी कर ली है?
Malvani ,"हां गं, सगळी तयारी झालीये.,Yes dear, all preparations are done.",हाँ जी, सारी तैयारी हो गई है।
Malvani ,आज प्रसाद काय ठेवलाय?,What prasad (offering) has been kept today?,आज प्रसाद क्या रखा है?
Malvani ,आज मोदक आणि लाडू ठेवलेत.,Today we have kept modak (sweet dumplings) and ladoo (sweet balls).,आज मोदक और लड्डू रखे हैं।
Malvani ,लय आवडतात मला मोदक आणि लाडू!,I really like modak and ladoo!,मुझे मोदक और लड्डू बहुत पसंद हैं!
Malvani ,"काय रे मित्रा, काय चाललंय तुझं आजकल?,Hey friend, what's going on with you these days?",अरे दोस्त, आजकल तेरा क्या चल रहा है?
Malvani ,"माझं तर ठीक चाललंय, तू सांग तुझं काय चाललंय?,Mine is going well, you tell me what's going on with you?",मेरा तो ठीक चल रहा है, तू बता तेरा क्या चल रहा है?
Malvani ,मी जरा नवीन धंद्यात गुंतलोय आजकल.,I am a bit busy with a new business these days.,मैं आजकल थोड़ा नए व्यवसाय में व्यस्त हूँ।
Malvani ,नवीन धंदा? कोणता धंदा सुरू केलास तू?,New business? Wch business did you start?,नया व्यवसाय? तुमने कौन सा व्यवसाय शुरू किया?
Malvani ,"मी आता हॉटेल सुरू केलाय, समुद्राच्या किनारी.,I have now started a hotel, on the beach.",मैंने अब एक होटल शुरू किया है, समुद्र के किनारे।
Malvani ,हॉटेल? अरे व्वा! लय भारी कल्पना आहे ही तर!,Hotel? Wow! Ts is a very amazing idea!,होटल? अरे वाह! यह तो बहुत ही बढ़िया विचार है!
Malvani ,तू कधी येणार माझ्या हॉटेलमध्ये?,When will you come to my hotel?,तुम मेरे होटल में कब आओगे?
Malvani ,"लवकरच येतो रे, तुझ्या हॉटेलची चव घ्यायला.,I'll come soon, man, to taste the food at your hotel.",मैं जल्दी ही आता हूँ यार, तुम्हारे होटल का स्वाद लेने।
Malvani ,ये हां! आणि तुझ्या मित्रांना पण घेऊन ये.,Come okay! And bring your friends too.,आना हाँ! और अपने दोस्तों को भी लेकर आना।
Malvani ,"नक्की घेऊन येतो, मालवणच्या पदार्थांची चव सगळ्यांना घ्यायला आवडेल.,Definitely will bring, everyone will like to taste the Malvani dishes.",ज़रूर लेकर आता हूँ, मालवण के व्यंजनों का स्वाद सबको पसंद आएगा।
Malvani ,तू काळजी घे हा स्वतःची आणि धंद्याची पण.,You take care of yourself and the business as well.,तुम अपना और व्यवसाय का भी ध्यान रखना।
Malvani ,"हां रे, नक्की घेतो! तू पण भेटत जा वेळ मिळेल तेव्हा.,Yes man, definitely will! You also keep visiting whenever you get time.",हाँ यार, ज़रूर रखता हूँ! तुम भी समय मिलने पर आते रहना।
Malvani ,"काय रे आज काय स्पेशल बनवलाय घरात?,Hey, what special dish has been made at home today?",अरे, आज घर पर क्या खास बनाया है?
Malvani ,आज आईने कोंबडी वडे बनवलेत.,Today mother has made Kombdi Vade (ccken and flatbread).,आज माँ ने कोंबडी वडे बनाए हैं।
Malvani ,कोंबडी वडे! माझा आवडता पदार्थ!,Kombdi Vade! My favorite dish!,कोंबडी वडे! मेरा पसंदीदा व्यंजन!
Malvani ,"तुला पण आवडतात ना?,You also like them", right?,तुम्हें भी पसंद हैं ना?
Malvani ,अरे विचार काय करताय? कोंबडी वडे म्हटल्यावर तर स्वर्गच!,What are you even tnking? Kombdi Vade is like heaven!,अरे सोच क्या रहे हो? कोंबडी वडे मतलब स्वर्ग!
Malvani ,चला लवकर जेवायला! आई वाट बघत असणार.,Let's go for lunch quickly! Mother must be waiting.,चलो जल्दी खाना खाते हैं! माँ इंतज़ार कर रही होगी।
Malvani ,तू हात धुतलेस ना व्यवस्थित?,Did you wash your hands properly?,क्या तुमने हाथ ठीक से धोए?
Malvani ,"हां रे, सगळं नीट केलंय.,Yes man, everytng is done properly.",हाँ यार, सब कुछ ठीक से कर लिया है।
Malvani ,आज जेवणाची लय मजा येणार!,Today's lunch is going to be a lot of fun!,आज खाने में बहुत मजा आएगा!
Malvani ,हो रे! कोंबडी वड्यांची चव काही औरच असते!,Yes! The taste of Kombdi Vade is sometng else!,हाँ! कोंबडी वडे का स्वाद ही कुछ और होता है!
Malvani ,"काय रे तू एवढा शांत का बसलास?,Hey, why are you sitting so quietly?",अरे, तुम इतने शांत क्यों बैठे हो?
Malvani ,"काय सांगू रे, थोडा थकलोय आज.,What to tell you, man, I am a bit tired today.",क्या बताऊं यार, थोड़ा थक गया हूँ आज।
Malvani ,काय झालं रे तुला? तब्येत ठीक नाये का?,What happened to you? Is your health not okay?,तुम्हें क्या हुआ यार? तबीयत ठीक नहीं है क्या?
Malvani ,"नाय रे, काल रात्रभर जागरण झालो.,No man, I was awake all night yesterday.",नहीं यार, कल रात भर जागरण हुआ।
Malvani ,जागरण? कशाचं जागरण होतं रे?,Jagran? What was the Jagran (night vigil) for?,जागरण? किस चीज का जागरण था यार?
Malvani ,आमच्या गावात देवीचा गोंधळ होता काल.,There was a Gondhal (traditional folk dance and singing) of the goddess in our village yesterday.,कल हमारे गाँव में देवी का गोंधळ था।
Malvani ,ओह! तू पण गेलास होतास?,Oh! Did you also go?,ओह! तुम भी गए थे?
Malvani ,"हां रे, गेलो होतो आणि नाचलो पण खूप.,Yes man, I had gone and danced a lot too.",हाँ यार, गया था और नाचा भी बहुत।
Malvani ,मग तर थकणारच! आराम कर थोडा वेळ.,Then you will definitely get tired! Rest for some time.,तो थकना तो लाजमी है! थोड़ी देर आराम करो।
Malvani ,"हां रे, आता थोडा वेळ झोपतो.,Yes man, I will sleep for some time now.",हाँ यार, अब थोड़ी देर सोता हूँ।
Malvani ,तू औषधं वगैरे घेतलीस ना वेळेवर?,Did you take your medicines etc. on time?,क्या तुमने अपनी दवाइयाँ वगैरह समय पर लीं?
Malvani ,"हां रे, सगळं व्यवस्थित घेतलंय.,Yes man, everytng has been taken properly.",हाँ यार, सब कुछ ठीक से ले लिया है।
Malvani ,काळजी घे स्वतःची आणि लवकर बरा हो.,Take care of yourself and get well soon.,अपना ख्याल रखना और जल्दी ठीक हो जाना।
Malvani ,धन्यवाद मित्रा! भेटूया लवकरच.,Thanks friend! Let's meet soon.,धन्यवाद दोस्त! जल्दी मिलते हैं।
Malvani ,"हां हां, नक्की भेटू!,Yes yes, definitely will meet!",हाँ हाँ, ज़रूर मिलेंगे!
Malvani ,"काय रे, तू आज एवढा खुश का दिसताय?,Hey, why do you look so happy today?",अरे, तुम आज इतने खुश क्यों दिख रहे हो?
Malvani ,"काय सांगू रे तुला! आज माझा लॉटरी लागली!,What to tell you", man! I won the lottery today!,क्या बताऊं यार तुम्हें! आज मेरी लॉटरी लग गई!
Malvani ,लॉटरी? खरं सांगतोयस?,Lottery? Are you telling the truth?,लॉटरी? सच कह रहे हो?
Malvani ,"हां रे बाबा! खरं सांगतोय! विश्वास बसत नाये ना?,Yes man! I am telling the truth! Can't believe it", right?,हाँ यार! सच कह रहा हूँ! विश्वास नहीं हो रहा है ना?
Malvani ,कितीची लागली रे लॉटरी?,How much lottery did you win?,कितने की लॉटरी लगी यार?
Malvani ,अरे बाप रे! एक लाख रुपयांची लागली!,Oh my god! I won a lakh rupees!,अरे बाप रे! एक लाख रुपये की लगी!
Malvani ,एक लाख रुपये! तू काय करणार आसा पैशांचं?,One lakh rupees! What will you do with the money?,एक लाख रुपये! तुम पैसों का क्या करोगे?
Malvani ,थोडे पैसे घरात देतो आणि बाकीच्या पैशातून छोटासा धंदा सुरू करतो.,I will give some money at home and start a small business with the rest of the money.,थोड़े पैसे घर पर देता हूँ और बाकी के पैसों से छोटा सा व्यवसाय शुरू करता हूँ।
Malvani ,लय भारी विचार आहे हा तर! माझ्या शुभेच्छा तुझ्यासोबत आहेत!,Ts is a very amazing idea! My best wishes are with you!,यह तो बहुत ही बढ़िया विचार है! मेरी शुभकामनाएं तुम्हारे साथ हैं!
Malvani ,धन्यवाद मित्रा! तुझा पाठिंबा माझ्यासाठी खूप महत्वाचा आसा.,Thanks friend! Your support is very important to me.,धन्यवाद दोस्त! तुम्हारा साथ मेरे लिए बहुत महत्वपूर्ण है।
Malvani ,तू काळजी घे आणि व्यवस्थित वापर पैशांचा.,You take care and use the money wisely.,तुम ध्यान रखना और पैसों का सही इस्तेमाल करना।
Malvani ,"हां रे, नक्की! तू पण भेटत जा आता.,Yes man, definitely! You also keep visiting now.",हाँ यार, ज़रूर! तुम भी अब आते रहना।
Malvani ,"काय रे, तू कोणत्या गावाला चाललास?,Hey, wch village are you going to?",अरे, तुम किस गाँव जा रहे हो?
Malvani ,"मी माझ्या मामाच्या गावाला चाललोय, [गावाचं नाव].,I am going to my maternal uncle's village, [Village Name].",मैं अपने मामा के गाँव जा रहा हूँ, [गाँव का नाम]।
Malvani ,काय काम आसा रे मामाच्या गावाला?,What work do you have in your uncle's village?,तुम्हारे मामा के गाँव में क्या काम है यार?
Malvani ,"माझ्या मामाच्या मुलीचं लग्न आसा लवकरच, त्याच तयारीसाठी चाललोय.,My maternal uncle's daughter's wedding is soon, I am going for the preparations for that.",मेरे मामा की बेटी की शादी जल्द ही है, उसी की तैयारी के लिए जा रहा हूँ।
Malvani ,अच्छा! तू कधी परत येणार आसा?,Oh! When will you come back?,अच्छा! तुम कब वापस आओगे?
Malvani ,मी दोन-तीन दिवसात परत येतो.,I will be back in two-three days.,मैं दो-तीन दिनों में वापस आ जाता हूँ।
Malvani ,"तू लग्नाची सगळी तयारी बघशील ना व्यवस्थित?,You will look after all the wedding preparations properly", right?,तुम शादी की सारी तैयारी ठीक से देखोगे ना?
Malvani ,"हां रे, सगळी जबाबदारी माझ्यावरच टाकली आहे.,Yes man, all the responsibility has been put on me.",हाँ यार, सारी जिम्मेदारी मुझ पर ही डाली है।
Malvani ,तू काळजी घे आणि सगळ्यांना माझा नमस्कार सांग.,You take care and convey my regards to everyone.,तुम ध्यान रखना और सबको मेरा नमस्कार कहना।
